file_id,phrase_index,start_time,end_time,phrase_text
00002,1,0.14,2.02,Solen og vinden er gode venner.
00002,2,2.71,5.39,"De følges ofte ad på deres vej hen over jorden,"
00002,3,5.68,7.03,og de har det godt sammen.
00002,4,7.49,10.24,Men en dag for mange år siden blev de uenige.
00002,5,10.63,13.5,"De kunne ikke enes om, hvem af dem der var stærkest."
00002,6,13.59,16.08,"De besluttede at afgøre det ved at se,"
00002,7,16.12,19.21,hvem der hurtigst kunne få en mand til at tage sin frakke af.
00002,8,20.2,21.06,Vinden begyndte.
00002,9,21.42,25.6,"Den blæste så voldsomt, at bladene røg af træerne, og dyrene søgte i læ,"
00002,10,25.95,27.73,men frakken kunne den ikke blæse af manden.
00002,11,28.47,31.35,Han holdt fast i frakken og trak den tæt omkring sig.
00002,12,32.05,35.51,Til sidst måtte vinden give op og lade manden gå med frakken på.
00002,13,36.1,37.31,Så var det solens tur.
00002,14,37.71,39.39,Den skinnede mildt på manden.
00002,15,39.94,42.96,Han følte en dejlig varme og lukkede sin frakke op.
00002,16,43.47,46.4,"Solen blev ved med at sende sine milde stråler mod manden,"
00002,17,46.69,48.37,og han fik det varmere og varmere.
00002,18,48.88,52.29,Efter nogen tid tog han frakken af for at nyde det dejlige vejr.
00002,19,53.15,55.57,"Der kan du bare se, sagde solen til vinden."
00002,20,55.81,60.86,Det er bedre at være venlig over for mennesker end at tvinge dem med trusler og mag.
00003,1,0.16,2.22,Solen og vinden er gode venner.
00003,2,2.62,7.13,"De følges ofte ad på deres vej hen over jorden,"
00003,3,7.82,9.06,og de har det godt sammen.
00003,4,9.7,12.37,Men en dag for mange år siden blev de uenige.
00003,5,13.04,16.67,"De kunne ikke enes om, hvem af dem der var stærkest."
00003,6,17.24,19.35,"De besluttede at afgøre det ved at se,"
00003,7,19.38,22.67,hvem der hurtigst kunne få en mand til at tage sin frakke af.
00003,8,23.8,24.82,Vinden begyndte.
00003,9,25.41,29.76,"Den blæste så voldsomt, at bladene røg af træerne, og dyrene søgte i læ,"
00003,10,30.38,33.69,men frakken kunne den ikke blæse af manden.
00003,11,34.52,37.22,Han holdt fast i frakken og trak den tæt omkring sig.
00003,12,37.81,41.78,Til sidst måtte vinden give op og lade manden gå med frakken på.
00003,13,43.19,44.59,Så var det solens tur.
00003,14,45.47,47.31,Den skinnede mildt på manden.
00003,15,47.84,50.91,Han følte en dejlig varme og lukkede sin frakke op.
00003,16,51.81,55.12,"Solen blev ved med at sende sine milde stråler mod manden,"
00003,17,55.51,57.31,og han fik det varmere og varmere.
00003,18,58.32,62.55,Efter nogen tid tog han frakken af for at nyde det dejlige vejr.
00003,19,62.55,66.25,"Der kan du bare se, sagde solen til vinden."
00003,20,66.78,71.37,Det er bedre at være venlig over for mennesker end at tvinge dem med trusler og mag.
00004,1,0.23,1.91,Solen og vinden er gode venner.
00004,2,2.03,4.56,"De følges ofte ad på deres vej hen over jorden,"
00004,3,4.8,6.18,og de har det godt sammen.
00004,4,6.21,8.43,Men en dag for mange år siden blev de uenige.
00004,5,8.74,11.76,"De kunne ikke enes om, hvem af dem der var stærkest."
00004,6,12.03,14.04,"De besluttede at afgøre det ved at se,"
00004,7,14.04,17.54,hvem der hurtigst kunne få en mand til at tage sin frakke af.
00004,8,18.48,19.33,Vinden begyndte.
00004,9,19.73,23.94,"Den blæste så voldsomt, at bladene røg af træerne, og dyrene søgte i læ,"
00004,10,24.23,25.98,men frakken kunne den ikke blæse af manden.
00004,11,26.17,29.05,Han holdt fast i frakken og trak den tæt omkring sig.
00004,12,29.56,32.54,Til sidst måtte vinden give op og lade manden gå med frakken på.
00004,13,32.94,34.17,Så var det solens tur.
00004,14,34.54,36.18,Den skinnede mildt på manden.
00004,15,36.49,39.11,Han følte en dejlig varme og lukkede sin frakke op.
00004,16,39.33,41.97,"Solen blev ved med at sende sine milde stråler mod manden,"
00004,17,42.15,43.85,og han fik det varmere og varmere.
00004,18,44.26,47.37,Efter nogen tid tog han frakken af for at nyde det dejlige vejr.
00004,19,48.2,49.97,"Der kan du bare se, sagde solen til vinden."
00004,20,50.0,54.38,Det er bedre at være venlig over for mennesker end at tvinge dem med trusler og mag.
00005,1,0.04,2.14,Solen og vinden er gode venner.
00005,2,2.27,5.21,"De følges ofte ad på deres vej hen over jorden,"
00005,3,5.41,6.88,og de har det godt sammen.
00005,4,6.91,9.7,Men en dag for mange år siden blev de uenige.
00005,5,10.09,12.77,"De kunne ikke enes om, hvem af dem der var stærkest."
00005,6,13.3,15.01,"De besluttede at afgøre det ved at se,"
00005,7,15.01,17.93,hvem der hurtigst kunne få en mand til at tage sin frakke af.
00005,8,18.79,19.82,Vinden begyndte.
00005,9,20.2,24.79,"Den blæste så voldsomt, at bladene røg af træerne, og dyrene søgte i læ,"
00005,10,25.19,27.25,men frakken kunne den ikke blæse af manden.
00005,11,27.62,30.52,Han holdt fast i frakken og trak den tæt omkring sig.
00005,12,31.3,35.04,Til sidst måtte vinden give op og lade manden gå med frakken på.
00005,13,35.04,36.16,Så var det solens tur.
00005,14,36.39,37.99,Den skinnede mildt på manden.
00005,15,38.34,41.23,Han følte en dejlig varme og lukkede sin frakke op.
00005,16,41.79,45.12,"Solen blev ved med at sende sine milde stråler mod manden,"
00005,17,45.29,47.71,og han fik det varmere og varmere.
00005,18,48.32,51.77,Efter nogen tid tog han frakken af for at nyde det dejlige vejr.
00005,19,52.41,54.76,"Der kan du bare se, sagde solen til vinden."
00005,20,55.02,59.38,Det er bedre at være venlig over for mennesker end at tvinge dem med trusler og mag.
00006,1,0.0,2.74,Solen og vinden er gode venner.
00006,2,3.33,7.91,"De følges ofte ad på deres vej hen over jorden,"
00006,3,9.04,10.72,og de har det godt sammen.
00006,4,11.22,14.49,Men en dag for mange år siden blev de uenige.
00006,5,15.4,20.08,"De kunne ikke enes om, hvem af dem der var stærkest."
00006,6,20.69,23.38,"De besluttede at afgøre det ved at se,"
00006,7,23.63,28.51,hvem der hurtigst kunne få en mand til at tage sin frakke af.
00006,8,29.19,30.26,Vinden begyndte.
00006,9,33.22,40.23,"Den blæste så voldsomt, at bladene røg af træerne, og dyrene søgte i læ,"
00006,10,41.22,44.27,men frakken kunne den ikke blæse af manden.
00006,11,44.85,49.67,Han holdt fast i frakken og trak den tæt omkring sig.
00006,12,50.66,55.46,Til sidst måtte vinden give op og lade manden gå med frakken på.
00006,13,56.24,57.56,Så var det solens tur.
00006,14,58.07,61.27,Den skinnede mildt på manden.
00006,15,61.51,65.57,Han følte en dejlig varme og lukkede sin frakke op.
00006,16,66.33,70.69,"Solen blev ved med at sende sine milde stråler mod manden,"
00006,17,70.88,74.71,og han fik det varmere og varmere.
00006,18,76.16,80.38,Efter nogen tid tog han frakken af for at nyde det dejlige vejr.
00006,19,81.21,84.01,"Der kan du bare se, sagde solen til vinden."
00006,20,84.61,91.18,Det er bedre at være venlig over for mennesker end at tvinge dem med trusler og mag.
00007,1,0.1,2.26,Solen og vinden er gode venner.
00007,2,2.69,5.36,"De følges ofte ad på deres vej hen over jorden,"
00007,3,5.6,6.98,og de har det godt sammen.
00007,4,7.65,10.22,Men en dag for mange år siden blev de uenige.
00007,5,10.62,13.12,"De kunne ikke enes om, hvem af dem der var stærkest."
00007,6,13.9,15.62,"De besluttede at afgøre det ved at se,"
00007,7,15.65,18.69,hvem der hurtigst kunne få en mand til at tage sin frakke af.
00007,8,19.72,20.64,Vinden begyndte.
